,Accuracy,F1,Precision,Recall,Precision-Recall Curve
id_270,0.8969445824623108,0.9353518486022949,0.9892798066139221,0.8869993686676025,"(tensor([0.8405, 0.9893, 1.0000]), tensor([1.0000, 0.8870, 0.0000]), tensor([0., 1.]))"
id_263,0.8971517086029053,0.9354566335678101,0.989821195602417,0.8867529034614563,"(tensor([0.8405, 0.9898, 1.0000]), tensor([1.0000, 0.8868, 0.0000]), tensor([0., 1.]))"
id_271,0.8969445824623108,0.9356028437614441,0.9852780699729919,0.8906962275505066,"(tensor([0.8405, 0.9853, 1.0000]), tensor([1.0000, 0.8907, 0.0000]), tensor([0., 1.]))"
id_150,0.897566020488739,0.9356077909469604,0.9918553233146667,0.8853974342346191,"(tensor([0.8405, 0.9919, 1.0000]), tensor([1.0000, 0.8854, 0.0000]), tensor([0., 1.]))"
id_204,0.8980838656425476,0.9359874725341797,0.9913187026977539,0.8865064978599548,"(tensor([0.8405, 0.9913, 1.0000]), tensor([1.0000, 0.8865, 0.0000]), tensor([0., 1.]))"
id_184,0.8981874585151672,0.9360401034355164,0.9915908575057983,0.8863832354545593,"(tensor([0.8405, 0.9916, 1.0000]), tensor([1.0000, 0.8864, 0.0000]), tensor([0., 1.]))"
id_354,0.8982910513877869,0.9361093044281006,0.9915919899940491,0.8865064978599548,"(tensor([0.8405, 0.9916, 1.0000]), tensor([1.0000, 0.8865, 0.0000]), tensor([0., 1.]))"
id_364,0.8981874585151672,0.9363465309143066,0.9866266250610352,0.8909426927566528,"(tensor([0.8405, 0.9866, 1.0000]), tensor([1.0000, 0.8909, 0.0000]), tensor([0., 1.]))"
id_157,0.8992232084274292,0.9366577863693237,0.992823600769043,0.8865064978599548,"(tensor([0.8405, 0.9928, 1.0000]), tensor([1.0000, 0.8865, 0.0000]), tensor([0., 1.]))"
id_298,0.9000517725944519,0.9373010993003845,0.9913414120674133,0.888847827911377,"(tensor([0.8405, 0.9913, 1.0000]), tensor([1.0000, 0.8888, 0.0000]), tensor([0., 1.]))"
id_340,0.9011911153793335,0.9380600452423096,0.9913544654846191,0.8902033567428589,"(tensor([0.8405, 0.9914, 1.0000]), tensor([1.0000, 0.8902, 0.0000]), tensor([0., 1.]))"
id_112,0.901398241519928,0.9381256103515625,0.9925732612609863,0.8893406987190247,"(tensor([0.8405, 0.9926, 1.0000]), tensor([1.0000, 0.8893, 0.0000]), tensor([0., 1.]))"
id_36,0.9015018343925476,0.9382748007774353,0.9912232756614685,0.8906962275505066,"(tensor([0.8405, 0.9912, 1.0000]), tensor([1.0000, 0.8907, 0.0000]), tensor([0., 1.]))"
id_92,0.9009839296340942,0.9382827877998352,0.9853559136390686,0.8955021500587463,"(tensor([0.8405, 0.9854, 1.0000]), tensor([1.0000, 0.8955, 0.0000]), tensor([0., 1.]))"
id_17,0.9021232724189758,0.9386323690414429,0.9921746253967285,0.8905730247497559,"(tensor([0.8405, 0.9922, 1.0000]), tensor([1.0000, 0.8906, 0.0000]), tensor([0., 1.]))"
id_21,0.9021232724189758,0.9387120008468628,0.9908269643783569,0.8918052911758423,"(tensor([0.8405, 0.9908, 1.0000]), tensor([1.0000, 0.8918, 0.0000]), tensor([0., 1.]))"
id_287,0.9021232724189758,0.9387993216514587,0.9893530011177063,0.8931608200073242,"(tensor([0.8405, 0.9894, 1.0000]), tensor([1.0000, 0.8932, 0.0000]), tensor([0., 1.]))"
